time,numberrange
6:54,10
7:41,2
11:19,7
4:52,13
9:08,8
3:50,10
1:54,14
10:57,4
7:40,0
6:02,2
3:32,6
6:10,10
10:56,13
9:41,11
5:32,6
7:44,12
3:39,2
5:34,4
5:59,12
4:51,4
3:07,10
8:25,8
11:27,13
1:28,10
10:36,1
12:48,9
2:41,3
3:12,1
7:16,13
11:14,2
5:19,14
12:09,13
4:03,12
9:07,4
10:38,13
11:53,1
12:31,11
4:30,11
12:57,13
12:45,12
7:45,4
1:07,1
1:28,12
12:14,1
9:14,13
11:01,10
12:15,7
12:51,14
9:20,2
5:18,10
7:31,9
6:19,9
1:24,8
12:55,14
4:39,13
4:18,2
2:25,7
10:34,14
4:23,9
5:41,11
2:49,2
7:18,5
1:10,10
7:35,14
12:07,7
6:39,3
12:29,1
7:31,10
1:22,1
8:50,12
5:55,12
6:27,8
1:05,6
2:01,12
11:37,3
12:28,13
1:14,12
9:10,10
3:52,11
11:43,10
11:40,8
3:34,9
8:42,1
9:29,5
4:12,13
2:22,9
2:27,12
6:59,8
8:36,4
11:24,7
6:30,13
3:27,2
9:14,7
8:10,13
7:12,9
1:36,9
5:12,9
1:54,1
2:17,7
4:53,6
10:42,1
7:36,1
5:55,1
8:00,1
1:36,6
2:59,9
3:07,13
10:22,4
12:54,4
7:52,10
7:42,4
9:07,12
1:25,13
1:34,3
12:33,3
1:53,9
10:15,13
11:52,7
7:28,12
12:14,9
12:23,7
9:04,1
6:37,3
11:37,11
11:19,10
11:31,13
4:28,2
2:32,2
10:33,1
7:05,6
11:09,11
7:14,8
11:51,3
9:18,4
1:58,3
8:34,0
4:10,6
7:06,2
7:18,7
5:12,8
4:09,7
9:48,12
4:02,7
4:08,3
2:49,7
11:24,8
1:55,9
10:02,2
11:01,5
3:24,2
2:41,2
7:49,5
1:42,4
4:06,2
5:41,2
1:26,6
3:58,12
7:20,4
3:50,13
10:15,9
2:21,4
11:05,8
5:21,13
3:05,9
3:01,7
1:59,9
4:06,11
12:52,11
6:03,9
7:42,1
5:48,12
7:13,4
1:53,4
11:21,3
7:14,10
11:02,9
10:21,7
10:58,5
7:53,1
7:16,11
6:46,2
11:40,13
12:54,5
8:23,9
11:25,14
8:23,12
3:02,12
3:36,2
3:22,8
7:54,10
10:33,12
7:07,13
4:11,11
10:37,6
4:12,1
11:04,10
7:57,6
11:54,11
3:28,11
3:07,11
